35-9031.00|1|Transportation|Knowledge of principles and methods for moving people or goods by air, rail, sea, or road, including the relative costs and benefits.|15
35-9031.00|1|Mechanical|Knowledge of machines and tools, including their designs, uses, repair, and maintenance.|12
35-9031.00|1|Law and Government|Knowledge of laws, legal codes, court procedures, precedents, government regulations, executive orders, agency rules, and the democratic political process.|12
35-9031.00|1|Design|Knowledge of design techniques, tools, and principles involved in production of precision technical plans, blueprints, drawings, and models.|11
35-9031.00|1|Chemistry|Knowledge of the chemical composition, structure, and properties of substances and of the chemical processes and transformations that they undergo. This includes uses of chemicals and their interactions, danger signs, production techniques, and disposal methods.|11
35-9031.00|1|Engineering and Technology|Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.|10
35-9031.00|1|Geography|Knowledge of principles and methods for describing the features of land, sea, and air masses, including their physical characteristics, locations, interrelationships, and distribution of plant, animal, and human life.|8
35-9031.00|1|Therapy and Counseling|Knowledge of principles, methods, and procedures for diagnosis, treatment, and rehabilitation of physical and mental dysfunctions, and for career counseling and guidance.|8
35-9031.00|1|Biology|Knowledge of plant and animal organisms, their tissues, cells, functions, interdependencies, and interactions with each other and the environment.|5
35-9031.00|1|Medicine and Dentistry|Knowledge of the information and techniques needed to diagnose and treat human injuries, diseases, and deformities. This includes symptoms, treatment alternatives, drug properties and interactions, and preventive health-care measures.|4
35-9031.00|1|Fine Arts|Knowledge of the theory and techniques required to compose, produce, and perform works of music, dance, visual arts, drama, and sculpture.|3
35-9031.00|1|Philosophy and Theology|Knowledge of different philosophical systems and religions. This includes their basic principles, values, ethics, ways of thinking, customs, practices, and their impact on human culture.|3
35-9031.00|1|Building and Construction|Knowledge of materials, methods, and the tools involved in the construction or repair of houses, buildings, or other structures such as highways and roads.|2
35-9031.00|1|Physics|Knowledge and prediction of physical principles, laws, their interrelationships, and applications to understanding fluid, material, and atmospheric dynamics, and mechanical, electrical, atomic and sub- atomic structures and processes.|2
35-9031.00|1|History and Archeology|Knowledge of historical events and their causes, indicators, and effects on civilizations and cultures.|2
35-9031.00|2|Active Listening|Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times.|63
35-9031.00|2|Speaking|Talking to others to convey information effectively.|60
35-9031.00|2|Service Orientation|Actively looking for ways to help people.|56
35-9031.00|2|Social Perceptiveness|Being aware of others' reactions and understanding why they react as they do.|53
35-9031.00|2|Coordination|Adjusting actions in relation to others' actions.|50
35-9031.00|2|Persuasion|Persuading others to change their minds or behavior.|50
35-9031.00|2|Reading Comprehension|Understanding written sentences and paragraphs in work related documents.|47
35-9031.00|2|Critical Thinking|Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problems.|47
35-9031.00|2|Negotiation|Bringing others together and trying to reconcile differences.|47
35-9031.00|2|Time Management|Managing one's own time and the time of others.|47
35-9031.00|2|Monitoring|Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action.|44
35-9031.00|2|Instructing|Teaching others how to do something.|44
35-9031.00|2|Writing|Communicating effectively in writing as appropriate for the needs of the audience.|41
35-9031.00|2|Active Learning|Understanding the implications of new information for both current and future problem-solving and decision-making.|41
35-9031.00|2|Judgment and Decision Making|Considering the relative costs and benefits of potential actions to choose the most appropriate one.|41
35-9031.00|2|Complex Problem Solving|Identifying complex problems and reviewing related information to develop and evaluate options and implement solutions.|38
35-9031.00|2|Management of Personnel Resources|Motivating, developing, and directing people as they work, identifying the best people for the job.|38
35-9031.00|2|Learning Strategies|Selecting and using training/instructional methods and procedures appropriate for the situation when learning or teaching new things.|31
35-9031.00|2|Systems Analysis|Determining how a system should work and how changes in conditions, operations, and the environment will affect outcomes.|28
35-9031.00|2|Systems Evaluation|Identifying measures or indicators of system performance and the actions needed to improve or correct performance, relative to the goals of the system.|28
35-9031.00|2|Mathematics|Using mathematics to solve problems.|25
35-9031.00|2|Operation Monitoring|Watching gauges, dials, or other indicators to make sure a machine is working properly.|6
35-9031.00|2|Management of Financial Resources|Determining how money will be spent to get the work done, and accounting for these expenditures.|6
35-9031.00|2|Quality Control Analysis|Conducting tests and inspections of products, services, or processes to evaluate quality or performance.|3
35-9031.00|2|Science|Using scientific rules and methods to solve problems.|0
35-9031.00|2|Operations Analysis|Analyzing needs and product requirements to create a design.|0
35-9031.00|2|Technology Design|Generating or adapting equipment and technology to serve user needs.|0
35-9031.00|2|Equipment Selection|Determining the kind of tools and equipment needed to do a job.|0
35-9031.00|2|Installation|Installing equipment, machines, wiring, or programs to meet specifications.|0
35-9031.00|2|Programming|Writing computer programs for various purposes.|0
35-9031.00|2|Operation and Control|Controlling operations of equipment or systems.|0
35-9031.00|2|Equipment Maintenance|Performing routine maintenance on equipment and determining when and what kind of maintenance is needed.|0
35-9031.00|2|Troubleshooting|Determining causes of operating errors and deciding what to do about it.|0
35-9031.00|2|Repairing|Repairing machines or systems using the needed tools.|0
35-9031.00|2|Management of Material Resources|Obtaining and seeing to the appropriate use of equipment, facilities, and materials needed to do certain work.|0
35-9031.00|3|Oral Expression|The ability to communicate information and ideas in speaking so others will understand.|72
35-9031.00|3|Oral Comprehension|The ability to listen to and understand information and ideas presented through spoken words and sentences.|69
35-9031.00|3|Speech Recognition|The ability to identify and understand the speech of another person.|60
35-9031.00|3|Speech Clarity|The ability to speak clearly so others can understand you.|56
35-9031.00|3|Near Vision|The ability to see details at close range (within a few feet of the observer).|53
35-9031.00|3|Problem Sensitivity|The ability to tell when something is wrong or is likely to go wrong. It does not involve solving the problem, only recognizing there is a problem.|50
35-9031.00|3|Deductive Reasoning|The ability to apply general rules to specific problems to produce answers that make sense.|50
35-9031.00|3|Written Comprehension|The ability to read and understand information and ideas presented in writing.|47
35-9031.00|3|Inductive Reasoning|The ability to combine pieces of information to form general rules or conclusions (includes finding a relationship among seemingly unrelated events).|47
35-9031.00|3|Selective Attention|The ability to concentrate on a task over a period of time without being distracted.|47
35-9031.00|3|Trunk Strength|The ability to use your abdominal and lower back muscles to support part of the body repeatedly or continuously over time without 'giving out' or fatiguing.|47
35-9031.00|3|Information Ordering|The ability to arrange things or actions in a certain order or pattern according to a specific rule or set of rules (e.g., patterns of numbers, letters, words, pictures, mathematical operations).|44
35-9031.00|3|Category Flexibility|The ability to generate or use different sets of rules for combining or grouping things in different ways.|44
35-9031.00|3|Time Sharing|The ability to shift back and forth between two or more activities or sources of information (such as speech, sounds, touch, or other sources).|44
35-9031.00|3|Arm-Hand Steadiness|The ability to keep your hand and arm steady while moving your arm or while holding your arm and hand in one position.|44
35-9031.00|3|Finger Dexterity|The ability to make precisely coordinated movements of the fingers of one or both hands to grasp, manipulate, or assemble very small objects.|41
35-9031.00|3|Written Expression|The ability to communicate information and ideas in writing so others will understand.|38
35-9031.00|3|Manual Dexterity|The ability to quickly move your hand, your hand together with your arm, or your two hands to grasp, manipulate, or assemble objects.|38
35-9031.00|3|Stamina|The ability to exert yourself physically over long periods of time without getting winded or out of breath.|38
35-9031.00|3|Far Vision|The ability to see details at a distance.|38
35-9031.00|3|Number Facility|The ability to add, subtract, multiply, or divide quickly and correctly.|35
35-9031.00|3|Memorization|The ability to remember information such as words, numbers, pictures, and procedures.|35
35-9031.00|3|Flexibility of Closure|The ability to identify or detect a known pattern (a figure, object, word, or sound) that is hidden in other distracting material.|35
35-9031.00|3|Perceptual Speed|The ability to quickly and accurately compare similarities and differences among sets of letters, numbers, objects, pictures, or patterns. The things to be compared may be presented at the same time or one after the other. This ability also includes comparing a presented object with a remembered object.|35
35-9031.00|3|Multilimb Coordination|The ability to coordinate two or more limbs (for example, two arms, two legs, or one leg and one arm) while sitting, standing, or lying down. It does not involve performing the activities while the whole body is in motion.|35
35-9031.00|3|Gross Body Coordination|The ability to coordinate the movement of your arms, legs, and torso together when the whole body is in motion.|35
35-9031.00|3|Auditory Attention|The ability to focus on a single source of sound in the presence of other distracting sounds.|35
35-9031.00|3|Fluency of Ideas|The ability to come up with a number of ideas about a topic (the number of ideas is important, not their quality, correctness, or creativity).|31
35-9031.00|3|Originality|The ability to come up with unusual or clever ideas about a given topic or situation, or to develop creative ways to solve a problem.|31
35-9031.00|3|Static Strength|The ability to exert maximum muscle force to lift, push, pull, or carry objects.|31
35-9031.00|3|Extent Flexibility|The ability to bend, stretch, twist, or reach with your body, arms, and/or legs.|31
35-9031.00|3|Mathematical Reasoning|The ability to choose the right mathematical methods or formulas to solve a problem.|28
35-9031.00|3|Speed of Closure|The ability to quickly make sense of, combine, and organize information into meaningful patterns.|28
35-9031.00|3|Visualization|The ability to imagine how something will look after it is moved around or when its parts are moved or rearranged.|28
35-9031.00|3|Control Precision|The ability to quickly and repeatedly adjust the controls of a machine or a vehicle to exact positions.|28
35-9031.00|3|Visual Color Discrimination|The ability to match or detect differences between colors, including shades of color and brightness.|28
35-9031.00|3|Hearing Sensitivity|The ability to detect or tell the differences between sounds that vary in pitch and loudness.|28
35-9031.00|3|Speed of Limb Movement|The ability to quickly move the arms and legs.|22
35-9031.00|3|Dynamic Strength|The ability to exert muscle force repeatedly or continuously over time. This involves muscular endurance and resistance to muscle fatigue.|22
35-9031.00|3|Gross Body Equilibrium|The ability to keep or regain your body balance or stay upright when in an unstable position.|22
35-9031.00|3|Spatial Orientation|The ability to know your location in relation to the environment or to know where other objects are in relation to you.|6
35-9031.00|3|Response Orientation|The ability to choose quickly between two or more movements in response to two or more different signals (lights, sounds, pictures). It includes the speed with which the correct response is started with the hand, foot, or other body part.|6
35-9031.00|3|Depth Perception|The ability to judge which of several objects is closer or farther away from you, or to judge the distance between you and an object.|6
35-9031.00|3|Rate Control|The ability to time your movements or the movement of a piece of equipment in anticipation of changes in the speed and/or direction of a moving object or scene.|3
35-9031.00|3|Reaction Time|The ability to quickly respond (with the hand, finger, or foot) to a signal (sound, light, picture) when it appears.|3
35-9031.00|3|Wrist-Finger Speed|The ability to make fast, simple, repeated movements of the fingers, hands, and wrists.|3
35-9031.00|3|Explosive Strength|The ability to use short bursts of muscle force to propel oneself (as in jumping or sprinting), or to throw an object.|0
35-9031.00|3|Dynamic Flexibility|The ability to quickly and repeatedly bend, stretch, twist, or reach out with your body, arms, and/or legs.|0
35-9031.00|3|Night Vision|The ability to see under low light conditions.|0
35-9031.00|3|Peripheral Vision|The ability to see objects or movement of objects to one's side when the eyes are looking ahead.|0
35-9031.00|3|Glare Sensitivity|The ability to see objects in the presence of glare or bright lighting.|0
35-9031.00|3|Sound Localization|The ability to tell the direction from which a sound originated.|0
43-4081.00|0|Core|Greet, register, and assign rooms to guests of hotels or motels.|94
43-4081.00|0|Core|Verify customers' credit, and establish how the customer will pay for the accommodation.|94
43-4081.00|0|Core|Contact housekeeping or maintenance staff when guests report problems.|91
43-4081.00|0|Core|Make and confirm reservations.|90
43-4081.00|0|Core|Issue room keys and escort instructions to bellhops.|90
43-4081.00|0|Core|Keep records of room availability and guests' accounts, manually or using computers.|90
43-4081.00|0|Core|Perform bookkeeping activities, such as balancing accounts and conducting nightly audits.|88
43-4081.00|0|Core|Post charges, such those for rooms, food, liquor, or telephone calls, to ledgers manually or by using computers.|87
43-4081.00|0|Core|Compute bills, collect payments, and make change for guests.|87
43-4081.00|0|Core|Record guest comments or complaints, referring customers to managers as necessary.|84
43-4081.00|0|Core|Review accounts and charges with guests during the check out process.|84
43-4081.00|0|Core|Transmit and receive messages, using telephones or telephone switchboards.|84
43-4081.00|0|Core|Advise housekeeping staff when rooms have been vacated and are ready for cleaning.|82
43-4081.00|0|Core|Answer inquiries pertaining to hotel services, guest registration, and travel directions, or make recommendations regarding shopping, dining, or entertainment.|80
43-4081.00|0|Core|Deposit guests' valuables in hotel safes or safe-deposit boxes.|74
43-4081.00|0|Core|Clean and maintain lobby and common areas, such as restocking supplies and watering plants.|70
43-4081.00|0|Core|Arrange tours, taxis, or restaurant reservations for customers.|66
43-4081.00|0|Supplemental|Prepare for basic food service, such as setting up continental breakfast or coffee and tea supplies.|75
43-4081.00|0|Supplemental|Plan, schedule or supervise the work of other employees.|71
43-4081.00|0|Supplemental|Date-stamp, sort, and rack incoming mail and messages.|69
43-4081.00|1|Customer and Personal Service|Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.|86
43-4081.00|1|Clerical|Knowledge of administrative and clerical procedures and systems such as word processing, managing files and records, stenography and transcription, designing forms, and other office procedures and terminology.|65
43-4081.00|1|English Language|Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.|63
43-4081.00|1|Administration and Management|Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources.|58
43-4081.00|1|Computers and Electronics|Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.|53
43-4081.00|1|Mathematics|Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.|52
43-4081.00|1|Sales and Marketing|Knowledge of principles and methods for showing, promoting, and selling products or services. This includes marketing strategy and tactics, product demonstration, sales techniques, and sales control systems.|42
43-4081.00|1|Public Safety and Security|Knowledge of relevant equipment, policies, procedures, and strategies to promote effective local, state, or national security operations for the protection of people, data, property, and institutions.|41
43-4081.00|1|Personnel and Human Resources|Knowledge of principles and procedures for personnel recruitment, selection, training, compensation and benefits, labor relations and negotiation, and personnel information systems.|39
43-4081.00|1|Economics and Accounting|Knowledge of economic and accounting principles and practices, the financial markets, banking and the analysis and reporting of financial data.|37
43-4081.00|1|Psychology|Knowledge of human behavior and performance; individual differences in ability, personality, and interests; learning and motivation; psychological research methods; and the assessment and treatment of behavioral and affective disorders.|33
43-4081.00|1|Communications and Media|Knowledge of media production, communication, and dissemination techniques and methods. This includes alternative ways to inform and entertain via written, oral, and visual media.|31
43-4081.00|1|Education and Training|Knowledge of principles and methods for curriculum and training design, teaching and instruction for individuals and groups, and the measurement of training effects.|30
43-4081.00|1|Telecommunications|Knowledge of transmission, broadcasting, switching, control, and operation of telecommunications systems.|28
43-4081.00|1|Geography|Knowledge of principles and methods for describing the features of land, sea, and air masses, including their physical characteristics, locations, interrelationships, and distribution of plant, animal, and human life.|25
43-4081.00|1|Foreign Language|Knowledge of the structure and content of a foreign (non-English) language including the meaning and spelling of words, rules of composition and grammar, and pronunciation.|23
43-4081.00|1|Transportation|Knowledge of principles and methods for moving people or goods by air, rail, sea, or road, including the relative costs and benefits.|21
43-4081.00|1|Sociology and Anthropology|Knowledge of group behavior and dynamics, societal trends and influences, human migrations, ethnicity, cultures and their history and origins.|19
43-4081.00|1|Production and Processing|Knowledge of raw materials, production processes, quality control, costs, and other techniques for maximizing the effective manufacture and distribution of goods.|17
43-4081.00|1|Law and Government|Knowledge of laws, legal codes, court procedures, precedents, government regulations, executive orders, agency rules, and the democratic political process.|15
43-4081.00|1|Medicine and Dentistry|Knowledge of the information and techniques needed to diagnose and treat human injuries, diseases, and deformities. This includes symptoms, treatment alternatives, drug properties and interactions, and preventive health-care measures.|13
43-4081.00|1|Mechanical|Knowledge of machines and tools, including their designs, uses, repair, and maintenance.|12
43-4081.00|1|Chemistry|Knowledge of the chemical composition, structure, and properties of substances and of the chemical processes and transformations that they undergo. This includes uses of chemicals and their interactions, danger signs, production techniques, and disposal methods.|10
43-4081.00|1|Therapy and Counseling|Knowledge of principles, methods, and procedures for diagnosis, treatment, and rehabilitation of physical and mental dysfunctions, and for career counseling and guidance.|10
43-4081.00|1|Design|Knowledge of design techniques, tools, and principles involved in production of precision technical plans, blueprints, drawings, and models.|9
43-4081.00|1|History and Archeology|Knowledge of historical events and their causes, indicators, and effects on civilizations and cultures.|9
43-4081.00|1|Philosophy and Theology|Knowledge of different philosophical systems and religions. This includes their basic principles, values, ethics, ways of thinking, customs, practices, and their impact on human culture.|9
43-4081.00|1|Engineering and Technology|Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.|7
43-4081.00|1|Fine Arts|Knowledge of the theory and techniques required to compose, produce, and perform works of music, dance, visual arts, drama, and sculpture.|7
43-4081.00|1|Physics|Knowledge and prediction of physical principles, laws, their interrelationships, and applications to understanding fluid, material, and atmospheric dynamics, and mechanical, electrical, atomic and sub- atomic structures and processes.|5
43-4081.00|1|Food Production|Knowledge of techniques and equipment for planting, growing, and harvesting food products (both plant and animal) for consumption, including storage/handling techniques.|4
43-4081.00|1|Building and Construction|Knowledge of materials, methods, and the tools involved in the construction or repair of houses, buildings, or other structures such as highways and roads.|2
43-4081.00|1|Biology|Knowledge of plant and animal organisms, their tissues, cells, functions, interdependencies, and interactions with each other and the environment.|2
43-4081.00|2|Social Perceptiveness|Being aware of others' reactions and understanding why they react as they do.|66
43-4081.00|2|Speaking|Talking to others to convey information effectively.|63
43-4081.00|2|Service Orientation|Actively looking for ways to help people.|63
43-4081.00|2|Active Listening|Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times.|60
43-4081.00|2|Coordination|Adjusting actions in relation to others' actions.|56
43-4081.00|2|Reading Comprehension|Understanding written sentences and paragraphs in work related documents.|50
43-4081.00|2|Writing|Communicating effectively in writing as appropriate for the needs of the audience.|47
43-4081.00|2|Critical Thinking|Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problems.|47
43-4081.00|2|Monitoring|Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action.|47
43-4081.00|2|Persuasion|Persuading others to change their minds or behavior.|47
43-4081.00|2|Judgment and Decision Making|Considering the relative costs and benefits of potential actions to choose the most appropriate one.|47
43-4081.00|2|Mathematics|Using mathematics to solve problems.|44
43-4081.00|2|Active Learning|Understanding the implications of new information for both current and future problem-solving and decision-making.|44
43-4081.00|2|Complex Problem Solving|Identifying complex problems and reviewing related information to develop and evaluate options and implement solutions.|44
43-4081.00|2|Time Management|Managing one's own time and the time of others.|44
43-4081.00|2|Negotiation|Bringing others together and trying to reconcile differences.|41
43-4081.00|2|Instructing|Teaching others how to do something.|41
43-4081.00|2|Management of Personnel Resources|Motivating, developing, and directing people as they work, identifying the best people for the job.|41
43-4081.00|2|Learning Strategies|Selecting and using training/instructional methods and procedures appropriate for the situation when learning or teaching new things.|38
43-4081.00|2|Systems Evaluation|Identifying measures or indicators of system performance and the actions needed to improve or correct performance, relative to the goals of the system.|35
43-4081.00|2|Systems Analysis|Determining how a system should work and how changes in conditions, operations, and the environment will affect outcomes.|31
43-4081.00|2|Operation Monitoring|Watching gauges, dials, or other indicators to make sure a machine is working properly.|22
43-4081.00|2|Technology Design|Generating or adapting equipment and technology to serve user needs.|16
43-4081.00|2|Programming|Writing computer programs for various purposes.|16
43-4081.00|2|Quality Control Analysis|Conducting tests and inspections of products, services, or processes to evaluate quality or performance.|13
43-4081.00|2|Operations Analysis|Analyzing needs and product requirements to create a design.|10
43-4081.00|2|Management of Financial Resources|Determining how money will be spent to get the work done, and accounting for these expenditures.|10
43-4081.00|2|Operation and Control|Controlling operations of equipment or systems.|6
43-4081.00|2|Management of Material Resources|Obtaining and seeing to the appropriate use of equipment, facilities, and materials needed to do certain work.|6
43-4081.00|2|Science|Using scientific rules and methods to solve problems.|0
43-4081.00|2|Equipment Selection|Determining the kind of tools and equipment needed to do a job.|0
43-4081.00|2|Installation|Installing equipment, machines, wiring, or programs to meet specifications.|0
43-4081.00|2|Equipment Maintenance|Performing routine maintenance on equipment and determining when and what kind of maintenance is needed.|0
43-4081.00|2|Troubleshooting|Determining causes of operating errors and deciding what to do about it.|0
43-4081.00|2|Repairing|Repairing machines or systems using the needed tools.|0
43-4081.00|3|Oral Comprehension|The ability to listen to and understand information and ideas presented through spoken words and sentences.|69
43-4081.00|3|Oral Expression|The ability to communicate information and ideas in speaking so others will understand.|69
43-4081.00|3|Speech Recognition|The ability to identify and understand the speech of another person.|60
43-4081.00|3|Speech Clarity|The ability to speak clearly so others can understand you.|60
43-4081.00|3|Near Vision|The ability to see details at close range (within a few feet of the observer).|56
43-4081.00|3|Problem Sensitivity|The ability to tell when something is wrong or is likely to go wrong. It does not involve solving the problem, only recognizing there is a problem.|53
43-4081.00|3|Information Ordering|The ability to arrange things or actions in a certain order or pattern according to a specific rule or set of rules (e.g., patterns of numbers, letters, words, pictures, mathematical operations).|53
43-4081.00|3|Written Comprehension|The ability to read and understand information and ideas presented in writing.|50
43-4081.00|3|Deductive Reasoning|The ability to apply general rules to specific problems to produce answers that make sense.|50
43-4081.00|3|Written Expression|The ability to communicate information and ideas in writing so others will understand.|47
43-4081.00|3|Mathematical Reasoning|The ability to choose the right mathematical methods or formulas to solve a problem.|47
43-4081.00|3|Inductive Reasoning|The ability to combine pieces of information to form general rules or conclusions (includes finding a relationship among seemingly unrelated events).|44
43-4081.00|3|Category Flexibility|The ability to generate or use different sets of rules for combining or grouping things in different ways.|44
43-4081.00|3|Selective Attention|The ability to concentrate on a task over a period of time without being distracted.|44
43-4081.00|3|Fluency of Ideas|The ability to come up with a number of ideas about a topic (the number of ideas is important, not their quality, correctness, or creativity).|41
43-4081.00|3|Originality|The ability to come up with unusual or clever ideas about a given topic or situation, or to develop creative ways to solve a problem.|41
43-4081.00|3|Number Facility|The ability to add, subtract, multiply, or divide quickly and correctly.|41
43-4081.00|3|Far Vision|The ability to see details at a distance.|41
43-4081.00|3|Finger Dexterity|The ability to make precisely coordinated movements of the fingers of one or both hands to grasp, manipulate, or assemble very small objects.|38
43-4081.00|3|Memorization|The ability to remember information such as words, numbers, pictures, and procedures.|35
43-4081.00|3|Flexibility of Closure|The ability to identify or detect a known pattern (a figure, object, word, or sound) that is hidden in other distracting material.|35
43-4081.00|3|Perceptual Speed|The ability to quickly and accurately compare similarities and differences among sets of letters, numbers, objects, pictures, or patterns. The things to be compared may be presented at the same time or one after the other. This ability also includes comparing a presented object with a remembered object.|35
43-4081.00|3|Time Sharing|The ability to shift back and forth between two or more activities or sources of information (such as speech, sounds, touch, or other sources).|35
43-4081.00|3|Visualization|The ability to imagine how something will look after it is moved around or when its parts are moved or rearranged.|31
43-4081.00|3|Speed of Closure|The ability to quickly make sense of, combine, and organize information into meaningful patterns.|28
43-4081.00|3|Visual Color Discrimination|The ability to match or detect differences between colors, including shades of color and brightness.|28
43-4081.00|3|Auditory Attention|The ability to focus on a single source of sound in the presence of other distracting sounds.|28
43-4081.00|3|Arm-Hand Steadiness|The ability to keep your hand and arm steady while moving your arm or while holding your arm and hand in one position.|25
43-4081.00|3|Manual Dexterity|The ability to quickly move your hand, your hand together with your arm, or your two hands to grasp, manipulate, or assemble objects.|25
43-4081.00|3|Control Precision|The ability to quickly and repeatedly adjust the controls of a machine or a vehicle to exact positions.|25
43-4081.00|3|Trunk Strength|The ability to use your abdominal and lower back muscles to support part of the body repeatedly or continuously over time without 'giving out' or fatiguing.|25
43-4081.00|3|Hearing Sensitivity|The ability to detect or tell the differences between sounds that vary in pitch and loudness.|25
43-4081.00|3|Spatial Orientation|The ability to know your location in relation to the environment or to know where other objects are in relation to you.|16
43-4081.00|3|Multilimb Coordination|The ability to coordinate two or more limbs (for example, two arms, two legs, or one leg and one arm) while sitting, standing, or lying down. It does not involve performing the activities while the whole body is in motion.|6
43-4081.00|3|Response Orientation|The ability to choose quickly between two or more movements in response to two or more different signals (lights, sounds, pictures). It includes the speed with which the correct response is started with the hand, foot, or other body part.|6
43-4081.00|3|Wrist-Finger Speed|The ability to make fast, simple, repeated movements of the fingers, hands, and wrists.|6
43-4081.00|3|Explosive Strength|The ability to use short bursts of muscle force to propel oneself (as in jumping or sprinting), or to throw an object.|3
43-4081.00|3|Stamina|The ability to exert yourself physically over long periods of time without getting winded or out of breath.|3
